x,y,episodes
22.00743756985935,7.998183308028015,"Judea Pearl: Causal Reasoning, Counterfactuals, and the Path to AGI | Lex Fridman Podcast #56"
17.333672270752004,-18.182354449329623,Rohit Prasad: Amazon Alexa and Conversational AI | Lex Fridman Podcast #57
-19.59431399721286,-0.07817136331311093,Michael Stevens: Vsauce | Lex Fridman Podcast #58
12.860877888737026,-13.427101922629847,"Sebastian Thrun: Flying Cars, Autonomous Vehicles, and Education | Lex Fridman Podcast #59"
-3.80669204076184,9.208442084717708,"Jim Gates: Supersymmetry, String Theory and Proving Einstein Right | Lex Fridman Podcast #60"
24.240791775473316,6.02250290967982,"Melanie Mitchell: Concepts, Analogies, Common Sense & Future of AI | Lex Fridman Podcast #61"
17.096187152605076,-11.238190635166951,"Donald Knuth: Algorithms, Complexity, and The Art of Computer Programming | Lex Fridman Podcast #62"
-22.47510898125904,-5.375306580615237,"Stephen Kotkin: Stalin, Putin, and the Nature of Power | Lex Fridman Podcast #63"
6.198294152191584,6.248328256290704,Grant Sanderson: 3Blue1Brown and the Beauty of Mathematics | Lex Fridman Podcast #64
20.50452114595808,3.736741417716209,"Daniel Kahneman: Thinking Fast and Slow, Deep Learning, and AI | Lex Fridman Podcast #65"
8.716957436583582,-4.94394649882348,Ayanna Howard: Human-Robot Interaction & Ethics of Safety-Critical Systems | Lex Fridman Podcast #66
-2.3122573356466964,-10.276240072661304,"Paul Krugman: Economics of Innovation, Automation, Safety Nets & UBI | Lex Fridman Podcast #67"
9.305926990591798,-16.80007655454367,Cristos Goodrow: YouTube Algorithm | Lex Fridman Podcast #68
8.861536436107743,29.95523152447311,David Chalmers: The Hard Problem of Consciousness | Lex Fridman Podcast #69
9.81076074031653,-8.386069413271999,"Jim Keller: Moore's Law, Microprocessors, and First Principles | Lex Fridman Podcast #70"
29.93358954258336,3.9899289172525467,"Vladimir Vapnik: Predicates, Invariants, and the Essence of Intelligence | Lex Fridman Podcast #71"
11.753234443338881,-5.712684200073456,Scott Aaronson: Quantum Computing | Lex Fridman Podcast #72
26.607125729421934,-16.97776414330101,"Andrew Ng: Deep Learning, Education, and Real-World AI | Lex Fridman Podcast #73"
21.69071007233778,-13.045042270144037,"Michael I. Jordan: Machine Learning, Recommender Systems, and Future of AI | Lex Fridman Podcast #74"
30.290978060216194,5.234580768295236,"Marcus Hutter: Universal Artificial Intelligence, AIXI, and AGI | Lex Fridman Podcast #75"
29.673773434406407,24.919353792639704,John Hopfield: Physics View of the Mind and Neurobiology | Lex Fridman Podcast #76
1.5098532122334134,13.96776230752266,"Alex Garland: Ex Machina, Devs, Annihilation, and the Poetry of Science | Lex Fridman Podcast #77"
-1.449667888552488,25.07781852878695,"Ann Druyan: Cosmos, Carl Sagan, Voyager, and the Beauty of Science | Lex Fridman Podcast #78"
-3.785952550138413,11.259368010913736,Lee Smolin: Quantum Gravity and Einstein's Unfinished Revolution | Lex Fridman Podcast #79
-10.759105749241508,-18.84613499037654,"Vitalik Buterin: Ethereum, Cryptocurrency, and the Future of Money | Lex Fridman Podcast #80"
19.522588327970187,-6.223374702494357,Anca Dragan: Human-Robot Interaction and Reward Engineering | Lex Fridman Podcast #81
-12.092776984816801,2.861400755177142,"Simon Sinek: Leadership, Hard Work, Optimism and the Infinite Game | Lex Fridman Podcast #82"
19.53043450083708,8.898568935637716,Nick Bostrom: Simulation and Superintelligence | Lex Fridman Podcast #83
-4.356377663221567,5.059992818334779,William MacAskill: Effective Altruism | Lex Fridman Podcast #84
5.796169106370268,30.99589281607737,Roger Penrose: Physics of Consciousness and the Infinite Universe | Lex Fridman Podcast #85
25.192368261964084,-10.844600694555911,"David Silver: AlphaGo, AlphaZero, and Deep Reinforcement Learning | Lex Fridman Podcast #86"
9.294964193926708,22.257166672315474,"Richard Dawkins: Evolution, Intelligence, Simulation, and Memes | Lex Fridman Podcast #87"
